,l_names,l_team18,l_gp18,l_points18,draft_pick,cost,l_team17,l_pos17,l_gp17,l_points17,l_owners17,l_project17,l_actual17,l_passyds17,l_passtd17,l_passint17,l_rushyds17,l_rushtd17,l_rush1st17,l_recepts17,l_recyds17,l_rectd17,l_rec1st17,l_returnyds17,l_returntd17,l_2pt17,l_fumble17,pick17,cost17,off_linefo18,off_linepff18,off_passydsg17,off_runydsg17,off_ptsg17,def_ydsg17,def_ptsg17,train,l_pos18__QB,l_pos18__RB,l_pos18__TE,l_pos18__WR,PointsPerGame,QBPassing
0,Brandon LaFell,Oak,6,46.0,,,Cin,WR,16.0,137.53,0.0099999998,271.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,548.0,3.0,25.0,0.0,0.0,0.0,0.0,228.0,2.0,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,0.86893326,0,0,0,1,8.595625,0.0
1,Lance Kendricks,NE,16,47.330002,,,GB,TE,16.0,47.529999,0.0,1924.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,203.0,1.0,8.0,0.0,0.0,0.0,0.0,,,3,11,276.10001,118.1,28.6,366.0,18.5,0.55510318,0,0,1,0,2.9706249375,0.0
9,Cody Latimer,NYG,6,49.970001,,,NYG,WR,11.0,90.129997,0.0,1942.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,287.0,2.0,15.0,190.0,0.0,1.0,0.0,,,29,25,217.39999,96.800003,15.4,373.20001,24.299999,0.9319346,0,0,0,1,8.193636090909092,0.0
12,Luke Stocker,Atl,16,52.0,,,Ten,TE,12.0,15.0,0.0,1956.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,,,24,3,249.39999,115.4,22.1,318.39999,19.700001,0.74596667,0,0,1,0,1.25,0.0
13,Deonte Thompson,NYJ,13,52.43,,,Dal,WR,16.0,138.39999,0.0099999998,1910.0,194.0,0.0,0.0,0.0,5.0,0.0,0.0,38.0,555.0,2.0,25.0,229.0,0.0,0.0,0.0,,,32,31,198.89999,106.4,18.6,352.29999,23.9,0.71671617,0,0,0,1,8.649999375,0.0
19,Ryan Griffin,NYJ,14,59.330002,,,Hou,TE,7.0,41.529999,0.0099999998,276.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,158.0,1.0,8.0,0.0,0.0,1.0,0.0,,,32,31,198.89999,106.4,18.6,352.29999,23.9,0.72957718,0,0,1,0,5.932856999999999,0.0
20,Torrey Smith,Car,11,59.669998,,,Car,WR,16.0,92.269997,0.0099999998,1930.0,266.0,0.0,0.0,0.0,3.0,0.0,0.0,36.0,430.0,2.0,11.0,9.0,0.0,0.0,0.0,,,11,21,192.3,131.39999,22.700001,317.10001,20.4,0.90110493,0,0,0,1,5.7668748125,0.0
23,Justin Hardy,Atl,16,62.27,,,Atl,WR,16.0,71.730003,0.0,1905.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,221.0,3.0,13.0,0.0,0.0,0.0,0.0,,,24,3,249.39999,115.4,22.1,318.39999,19.700001,0.74893296,0,0,0,1,4.4831251875,0.0
24,Rex Burkhead,NE,8,62.330002,60.0,15.0,NE,RB,10.0,146.03,0.82999998,60.0,181.0,0.0,0.0,0.0,264.0,5.0,14.0,30.0,254.0,3.0,13.0,17.0,0.0,0.0,0.0,,,3,11,276.10001,118.1,28.6,366.0,18.5,0.91962624,0,1,0,0,14.603,0.0
25,Levine Toilolo,SF,16,62.529999,,,Det,TE,15.0,37.130001,0.0,1915.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,122.0,1.0,5.0,0.0,0.0,0.0,0.0,,,10,16,245.3,104.0,20.700001,351.60001,23.9,0.69345325,0,0,1,0,2.4753334,0.0
26,Pierre Garcon,SF,8,65.07,143.0,5.0,SF,WR,8.0,98.33000200000001,0.86000001,74.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,500.0,0.0,25.0,0.0,0.0,0.0,0.0,158.0,8.0,10,16,245.3,104.0,20.700001,351.60001,23.9,0.82858884,0,0,0,1,12.291250250000001,0.0
28,DeVante Parker,Mia,11,66.599998,147.0,5.0,Mia,WR,13.0,142.67,0.69999999,109.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,670.0,1.0,33.0,0.0,0.0,0.0,0.0,112.0,16.0,14,20,220.89999,86.800003,17.6,335.70001,24.6,0.77203995,0,0,0,1,10.974615384615383,0.0
29,Allen Hurns,Mia,16,66.66999799999999,201.0,1.0,Dal,WR,10.0,115.27,0.23999999,156.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,484.0,2.0,28.0,0.0,0.0,0.0,0.0,196.0,1.0,14,20,220.89999,86.800003,17.6,335.70001,24.6,0.58611989,0,0,0,1,11.527,0.0
30,Bruce Ellington,NE,7,68.129997,,,Hou,WR,11.0,88.400002,0.0099999998,1904.0,277.0,0.0,0.0,0.0,17.0,0.0,1.0,29.0,330.0,2.0,14.0,47.0,0.0,0.0,0.0,,,3,11,276.10001,118.1,28.6,366.0,18.5,0.80536443,0,0,0,1,8.036363818181819,0.0
